16,16,896,19,0,359,1023,943
13,16,896,17,6,0,0,105
15,15,898,16,2,244,763,667
18,18,898,17,1,275,792,716
15,16,895,19,0,143,451,450
15,15,896,17,0,339,1008,895
12,16,895,19,1,98,315,350
16,16,895,17,2,355,1023,928
15,19,898,16,1,9,57,168
16,17,895,18,4,332,1023,865
17,17,897,17,1,37,54,212
16,20,898,19,1,171,542,503
13,16,896,15,4,332,982,857
17,17,897,16,2,77,248,286
16,16,895,19,3,358,1023,928
16,16,895,19,1,0,0,85
15,19,897,17,1,191,595,524
15,16,895,19,1,322,951,819
15,19,898,16,2,89,285,258
13,15,897,11,1,403,1023,1023
14,15,896,25,0,96,182,140
15,17,897,22,1,385,1023,1023
17,17,896,15,2,36,74,40
17,18,898,13,2,344,1023,1023
15,17,899,18,1,0,0,0
16,14,896,25,3,21,72,71
12,16,896,23,0,339,1023,766
16,15,898,20,2,32,41,70
13,16,895,21,0,120,373,279
16,15,897,20,1,346,1018,798
18,17,897,20,1,78,254,205
16,16,895,19,3,362,1023,841
16,14,897,18,3,0,0,25
14,16,895,22,1,192,600,465
17,17,897,19,0,323,949,763
17,13,897,19,0,93,288,249
16,16,898,21,2,358,1023,837
14,17,894,14,5,3,24,0
13,16,896,13,3,209,645,506
17,19,897,12,2,306,923,1002
14,18,898,12,0,163,510,380
13,16,896,13,0,326,996,1023
16,16,895,22,1,118,379,229
16,16,896,12,6,333,1017,1023
14,16,896,55,1,136,430,357
15,15,900,57,0,340,1012,818
15,15,900,53,0,90,296,243
17,14,897,54,2,357,1023,847
16,15,899,54,1,3,32,76
15,14,897,55,3,265,837,641
18,17,897,55,0,235,673,563
15,15,899,54,1,164,519,428
15,18,898,52,0,334,989,822
16,15,898,11,2,68,225,160
14,15,898,21,2,360,1023,935
14,16,894,23,0,0,0,0
17,19,897,24,1,123,387,302
12,16,895,21,1,342,1018,850
15,15,898,16,2,79,267,281
12,16,896,14,4,359,1023,1023
16,16,896,22,2,47,159,335
14,15,898,25,0,361,1023,1023
14,15,896,24,0,6,45,274
14,16,894,27,1,326,1023,975
16,16,894,26,0,44,71,339
14,17,895,27,1,167,526,609
15,18,897,24,2,334,990,979
14,18,898,22,2,72,235,356
13,14,896,12,4,360,1023,1002
14,15,897,12,1,37,127,251
14,16,894,13,2,357,1023,1023
14,18,897,11,1,0,1,159
14,16,895,12,2,256,807,858
14,16,895,39,3,251,716,769
14,15,898,19,0,155,490,564
15,18,898,18,1,335,1004,983
16,15,897,18,1,109,357,467
13,14,896,19,1,344,1023,1001
15,17,896,19,2,129,404,509
14,18,896,16,2,343,1014,993
18,17,896,18,1,86,279,417
15,19,897,16,2,357,1023,1023
14,19,896,18,2,51,170,343
15,15,898,18,2,360,1023,1023
17,18,896,19,1,11,57,262
17,17,896,15,3,357,1023,999
15,16,897,19,2,0,0,190
16,15,897,18,1,117,363,421
16,15,896,13,3,344,1023,985
17,16,893,13,2,74,247,368
14,19,896,24,3,356,1023,1023
14,18,899,12,2,38,138,179
14,16,895,14,3,359,1023,915
17,19,897,12,2,0,0,22
15,18,897,12,1,148,461,400
14,15,898,15,0,336,1006,676
17,17,896,12,3,112,322,623
14,15,897,13,2,347,1023,1022
15,15,897,13,0,114,369,417
16,16,895,12,3,345,1022,867
14,16,896,14,6,77,253,246
16,16,897,13,1,359,1023,876
14,16,897,17,1,0,0,0
18,15,896,9,3,141,433,607
15,13,899,8,2,349,1023,1023
15,14,899,15,2,46,150,333
14,15,900,13,0,359,1023,908
14,14,896,15,2,0,0,75
16,14,898,13,2,153,478,490
17,15,896,12,2,339,1005,891
13,16,897,31,2,103,335,102
15,15,898,9,4,346,1023,1023
12,16,895,9,2,70,223,402
17,17,895,12,1,357,1023,1023
15,17,896,8,3,0,0,136
16,17,893,14,0,182,562,669
14,18,898,12,2,324,967,952
17,19,899,14,2,79,267,283
15,15,899,14,0,359,1023,914
17,17,896,12,3,0,0,113
14,18,896,14,1,254,797,689
14,17,894,21,0,253,726,681
14,16,896,15,3,153,486,486
16,16,898,13,5,336,1002,894
16,15,897,18,1,110,351,386
15,18,899,13,2,344,1020,911
14,16,896,15,1,74,240,305
15,15,895,15,2,359,1023,943
19,17,898,15,3,0,0,109
18,17,897,18,0,244,764,677
20,17,897,17,2,270,781,716
21,17,899,18,2,143,461,464
18,16,897,17,0,337,1008,900
19,17,898,20,3,99,325,246
18,18,900,19,3,352,1023,1023
17,16,899,16,0,66,212,373
15,19,901,16,2,356,1023,977
17,15,899,14,2,0,0,0
16,15,902,16,2,122,381,279
18,15,902,17,0,342,1020,783
19,15,901,17,0,80,261,186
