20,42,843,16,2,259,556,436
25,41,847,15,3,349,977,776
20,50,844,16,1,64,255,238
21,55,837,16,3,315,1023,867
20,49,837,19,0,0,0,66
25,41,838,18,3,200,632,495
21,42,842,18,1,339,935,746
22,43,843,17,3,153,320,284
22,40,842,18,1,374,1023,834
22,39,843,32,2,105,216,217
22,43,844,19,2,304,1023,848
24,16,848,34,3,2,117,159
20,26,825,23,1,0,1023,871
24,6,36,26,0,0,325,449
990,5,39,30,1,66,122,349
905,6,39,32,1,631,1023,1023
23,11,875,31,6,224,0,259
20,10,846,33,1,873,860,842
22,14,856,32,1,854,696,757
22,12,863,33,4,718,547,618
20,14,860,31,3,845,998,978
25,10,859,32,0,581,248,419
22,12,860,33,2,786,1023,1023
25,10,864,33,1,520,294,452
22,11,853,23,1,702,1023,1023
21,10,852,31,3,451,347,485
23,12,844,24,3,620,1023,1015
22,11,841,26,0,393,407,532
24,13,840,31,2,548,1020,1003
22,11,834,33,0,343,474,574
22,12,832,32,1,480,1008,993
21,12,830,28,2,248,343,481
23,8,832,31,5,429,1023,1011
25,8,826,30,0,162,236,410
21,12,829,33,0,350,1023,1023
25,8,40,31,0,2,110,391
25,10,31,19,2,385,887,982
22,26,37,18,4,435,799,810
23,23,36,21,0,150,281,465
22,14,881,17,2,608,1023,1023
23,27,841,17,1,294,193,387
21,23,845,18,0,513,1023,1023
25,24,852,15,5,254,240,414
23,24,849,15,5,480,1023,1023
22,27,847,19,1,237,286,445
21,24,845,14,5,438,1023,1022
22,23,838,17,2,209,331,480
21,24,834,17,0,395,1023,1013
20,24,831,17,2,182,388,518
25,24,837,15,3,350,1014,1006
23,29,847,17,4,161,450,559
20,26,840,17,2,313,1010,993
23,25,839,16,3,96,325,469
22,24,836,19,1,295,1023,1023
21,23,841,15,3,44,216,397
24,22,837,19,2,276,1023,1023
21,6,28,17,3,92,95,285
23,9,38,19,2,891,895,907
22,11,34,19,0,710,981,951
22,16,868,14,1,519,142,346
21,22,862,15,5,985,1023,1023
22,14,852,19,0,677,188,363
21,13,852,19,0,901,1023,1023
21,13,853,17,3,520,230,392
21,8,27,18,2,374,1023,968
20,8,35,18,2,0,0,195
21,10,35,15,3,211,228,388
20,21,36,17,3,995,1023,1021
20,18,35,19,0,646,0,199
20,17,46,19,0,931,988,873
22,18,36,18,1,859,774,772
23,20,36,17,3,521,304,417
20,8,35,19,0,718,1023,977
25,8,39,15,3,0,0,222
21,8,43,15,5,132,159,360
21,14,39,16,2,995,1023,1023
23,19,36,16,2,648,0,215
22,19,36,18,0,850,705,705
21,18,36,17,2,894,1006,977
22,7,39,16,2,0,210,392
21,6,38,19,0,9,1023,989
21,7,37,32,2,623,1010,985
20,17,37,28,5,396,86,317
20,18,36,33,1,794,1023,1020
23,21,36,33,3,440,0,232
22,19,36,31,3,600,599,638
21,15,39,30,1,695,1023,982
21,6,43,23,0,63,127,328
21,6,35,17,2,400,1023,985
20,8,36,30,3,470,477,587
20,13,36,31,3,601,302,432
23,12,36,33,1,988,1023,1019
21,13,38,32,2,672,51,253
22,18,37,20,2,957,1023,991
21,15,39,33,1,647,62,323
21,13,39,30,2,716,557,591
21,13,37,20,1,821,1023,971
20,14,37,18,3,503,111,295
22,15,36,39,3,746,1023,1008
20,17,36,36,3,376,0,175
20,16,36,31,3,572,809,757
21,13,40,34,1,592,942,884
20,14,41,32,1,320,165,316
23,15,38,31,3,554,1023,1004
20,13,46,33,2,181,0,160
22,17,40,35,3,396,872,795
23,9,37,30,3,222,890,851
21,9,38,32,2,103,56,258
20,9,40,37,0,624,1023,943
22,11,36,38,3,489,602,654
23,16,50,26,1,501,398,477
20,16,36,41,2,787,1023,979
21,14,39,24,2,429,0,180
21,14,39,32,2,709,959,846
21,12,37,27,0,666,799,759
21,17,36,31,3,463,286,387
20,14,36,37,2,664,1023,981
23,16,37,30,3,302,0,148
20,12,37,35,3,521,847,755
20,15,36,36,3,522,920,846
21,13,39,32,2,232,195,308
23,15,36,20,3,400,1023,975
20,10,37,19,0,0,0,144
20,10,37,35,1,189,349,420
20,11,37,35,1,607,1023,949
20,12,41,29,2,173,0,139
23,13,40,34,3,721,932,796
23,13,38,37,3,757,860,769
20,14,37,32,4,535,264,342
20,13,37,33,3,757,1023,962
22,15,37,30,3,383,0,124
20,13,38,31,2,590,814,709
23,13,36,31,2,610,940,831
22,13,36,29,3,317,169,266
22,15,36,31,1,525,1023,949
20,14,36,32,3,0,0,126
21,8,41,36,2,176,313,369
21,15,37,36,1,636,1023,946
22,17,863,33,3,150,0,134
21,17,847,31,3,716,893,759
23,15,844,33,0,713,599,594
20,16,842,30,0,676,584,555
21,15,844,31,2,781,968,853
20,16,836,25,0,530,284,346
21,13,838,28,5,722,1023,920
21,15,842,30,2,425,183,274
20,16,840,27,1,648,1023,935
20,15,833,21,2,293,74,206
21,15,842,18,3,521,1023,943
