9,24,866,13,0,359,1023,999
10,27,866,14,3,0,0,149
10,25,867,14,3,172,531,568
9,22,867,15,0,324,980,924
9,24,869,14,2,25,95,246
10,24,866,12,2,343,1023,951
9,23,867,15,3,17,8,218
8,24,865,16,2,78,237,328
11,27,866,16,0,359,1023,932
8,23,867,14,0,0,0,0
8,27,866,16,3,29,96,80
8,25,866,16,2,283,884,711
11,24,865,17,0,292,875,882
10,26,869,17,2,129,401,477
10,25,866,14,5,331,1012,1007
9,23,868,23,1,142,449,428
8,25,864,15,5,336,1023,890
8,24,865,16,2,0,13,25
10,24,868,15,0,198,621,557
10,24,868,12,0,305,929,845
10,24,867,14,2,99,312,288
9,24,866,14,1,344,1023,957
8,23,866,11,1,0,0,0
11,25,867,10,4,57,168,162
8,24,866,11,1,356,1023,973
10,25,865,12,2,0,0,0
9,24,864,15,0,56,170,163
8,24,865,10,1,353,1023,964
9,24,867,10,2,0,0,0
10,24,864,11,2,0,0,0
10,25,865,12,2,93,279,254
11,24,865,10,3,351,1023,961
9,23,867,10,1,0,17,28
10,25,864,11,0,200,627,559
11,24,865,9,3,301,925,838
11,24,865,13,2,52,175,164
10,26,867,10,0,354,1023,969
10,27,866,12,1,0,0,0
11,25,865,9,3,104,318,294
9,23,867,12,3,345,1023,958
7,23,867,11,2,0,0,0
11,22,866,12,1,57,174,167
9,24,866,10,5,352,1023,972
8,24,864,10,2,0,0,0
8,24,867,8,2,2,19,33
8,24,865,13,0,148,459,412
10,26,867,9,1,337,1023,943
9,25,865,11,0,1,18,36
10,25,865,10,2,202,629,560
8,27,865,10,1,300,925,840
9,22,865,11,0,54,177,168
10,24,864,10,2,349,1023,966
11,25,866,9,3,0,0,0
8,24,867,8,2,3,19,34
10,24,865,9,0,148,457,413
11,22,866,11,0,337,1023,943
10,24,866,11,0,52,175,164
11,25,865,8,3,350,1023,975
8,25,866,11,2,0,0,0
10,24,867,8,2,1,14,30
8,24,866,11,0,202,622,555
10,25,866,9,5,326,1004,921
9,23,868,10,1,53,170,163
10,26,867,10,2,350,1023,964
9,23,868,11,1,0,0,0
10,25,866,10,1,0,15,28
11,21,866,10,3,254,803,709
11,22,865,11,1,231,692,625
9,24,866,8,1,158,492,443
10,23,866,11,0,342,1023,959
10,25,867,9,3,12,61,71
10,23,866,12,2,265,843,738
