10,25,893,43,0,202,18,208
8,24,892,45,2,558,1023,975
10,23,891,44,3,162,0,113
9,27,888,44,3,379,677,632
8,24,885,44,1,475,994,906
11,27,885,45,3,134,67,83
9,24,896,45,2,482,1023,792
9,24,903,44,2,151,42,0
9,27,898,44,1,213,220,67
8,25,897,44,2,748,1023,774
8,24,894,46,3,319,0,0
10,22,891,49,0,388,227,190
8,24,894,26,0,655,1023,0
8,23,890,12,3,268,0,0
8,24,893,11,2,344,227,203
9,22,899,12,3,615,1023,1009
9,23,907,16,3,240,0,0
9,23,905,15,2,576,570,524
11,22,906,17,3,695,1023,964
9,23,905,17,3,396,268,250
10,24,906,13,2,641,1023,913
10,23,906,14,2,229,2,12
8,23,904,13,0,526,968,911
11,25,904,15,2,435,726,624
11,24,900,13,5,310,484,460
10,23,903,16,2,469,1003,924
11,22,900,19,3,223,350,356
10,22,901,17,2,444,1020,1019
10,26,903,17,2,213,398,420
9,23,902,16,1,420,1017,1013
8,23,899,19,1,152,271,284
9,22,901,18,2,417,1023,1023
7,25,898,15,3,40,9,36
9,27,896,18,3,246,625,612
10,27,899,18,0,373,1009,992
10,24,901,19,0,122,316,353
9,22,899,18,3,353,1023,1020
11,22,898,22,3,68,209,219
8,22,899,48,0,401,1023,774
9,24,896,49,0,2,0,0
9,23,897,45,2,42,67,126
9,23,892,45,3,349,1023,961
11,24,897,44,2,129,342,258
8,24,902,21,2,236,725,672
10,23,900,17,0,318,968,915
11,24,899,11,1,158,258,249
9,23,903,11,1,401,1023,1023
8,23,905,13,2,83,152,148
8,25,900,13,1,385,1023,1023
10,23,905,14,3,0,0,0
10,23,902,12,3,111,157,168
10,23,905,12,0,409,1023,1018
8,23,904,13,2,91,193,204
9,22,904,12,2,380,1023,1023
11,25,900,15,5,0,0,0
11,27,899,20,2,71,195,190
8,22,894,21,1,383,1023,1023
11,25,896,20,0,0,0,0
9,24,898,16,2,122,351,370
9,22,896,22,1,352,1023,942
10,25,895,22,0,0,0,0
11,22,895,18,0,117,352,363
8,24,895,49,1,340,1023,1011
9,23,897,50,0,77,238,292
11,25,899,19,0,352,1023,1023
10,23,904,20,2,0,0,0
9,26,909,17,2,133,410,397
10,25,904,17,1,336,1023,928
9,24,907,12,2,41,143,196
10,24,902,14,1,346,1023,759
10,25,902,12,3,0,0,0
11,25,905,12,5,76,146,167
9,22,903,17,0,380,1023,1023
8,24,903,14,1,0,0,0
10,23,905,14,3,56,150,167
9,24,905,19,2,361,1023,1023
10,26,907,28,0,0,0,0
10,25,900,20,3,136,326,0
11,22,897,27,0,385,1023,1011
10,23,896,20,1,16,36,55
11,22,897,21,2,324,1017,906
10,27,901,25,3,46,95,236
9,26,895,26,1,165,516,663
10,25,898,56,1,334,1023,1019
10,25,900,53,0,121,390,515
12,27,909,22,3,325,1012,881
11,27,905,22,2,83,267,248
10,25,901,15,3,346,1023,1023
10,23,901,12,2,55,166,333
10,24,897,13,0,349,1023,913
11,25,906,11,3,0,0,0
10,24,915,17,1,105,312,406
8,22,911,12,3,333,1023,1021
11,25,911,14,3,61,208,215
10,23,907,18,3,350,1023,1023
8,27,901,24,1,29,107,150
10,24,897,35,0,349,1023,1023
9,23,901,35,1,0,0,0
8,24,902,21,3,39,114,109
10,25,901,20,2,359,1023,1023
11,24,899,21,2,0,0,71
9,23,899,52,2,145,433,588
11,24,899,840,3,348,1023,1022
10,25,896,39,3,148,477,528
11,25,898,40,3,322,997,790
9,24,899,18,2,61,196,180
9,21,895,21,0,349,1023,984
10,25,893,17,3,0,0,0
