10,13,911,18,0,362,1023,855
10,14,914,16,2,0,0,0
11,12,909,17,1,70,217,169
7,12,910,17,4,365,1023,864
9,12,911,17,2,0,0,0
10,13,909,18,0,19,71,66
8,14,911,17,1,345,1023,799
5,12,910,17,4,126,317,304
8,14,910,18,3,180,572,429
8,11,910,21,1,346,1016,822
9,13,911,16,2,34,123,102
6,12,909,18,1,360,1023,849
9,12,909,17,2,3,0,57
11,13,911,18,1,0,0,0
10,15,910,17,4,123,400,302
5,12,909,19,0,333,1015,819
7,13,909,15,5,32,131,106
8,14,910,15,6,347,1023,841
7,15,911,18,3,0,0,43
7,12,910,19,1,0,0,0
8,12,914,16,2,65,245,185
7,11,909,19,3,332,1023,850
9,13,910,19,0,0,0,0
8,12,910,15,3,0,0,0
9,15,911,17,2,59,217,164
9,10,910,18,3,344,1023,848
8,12,910,18,3,0,0,0
5,12,910,17,4,0,0,0
8,13,912,19,0,45,185,144
5,12,909,17,4,329,1023,848
7,12,908,17,2,0,0,19
10,13,906,17,3,0,28,35
9,14,903,19,0,253,851,625
8,10,906,16,2,300,916,741
11,9,901,19,1,59,190,159
12,11,900,19,2,368,1023,866
11,9,901,17,1,0,0,0
11,11,899,16,2,8,39,57
11,11,898,17,2,307,858,645
14,12,897,17,0,284,655,549
18,10,896,15,2,243,536,411
13,9,897,19,0,448,987,802
13,10,897,19,1,130,90,86
13,8,898,15,3,513,1023,844
14,10,897,18,1,148,0,83
12,14,902,16,2,253,409,311
13,10,900,19,2,449,1020,825
11,10,902,17,3,109,278,215
13,9,903,16,3,340,1023,841
14,13,903,16,2,0,2,25
16,10,900,18,2,195,635,484
13,8,903,18,1,303,938,766
14,9,903,19,3,44,169,157
10,10,899,16,3,378,1023,874
9,10,899,16,2,0,0,4
11,9,896,15,3,8,3,40
10,10,900,19,2,187,457,368
17,9,899,15,3,416,1009,832
23,11,898,16,1,111,171,149
23,8,898,17,3,483,1023,864
22,9,899,16,2,92,0,0
